pergunta,resposta_esperada,resposta_modelo_treinado,resposta_modelo_base,rougeL_base,bleu_base,equal_base,rougeL_ft,bleu_ft,equal_ft
How is Enalaprilat metabolized?,Both enalapril and enalaprilat undergo renal excretion without further metabolism.,Enalaprilat is not metabolized and is excreted unchanged.,The most common side effect of Enalaprilat is hypotension.,0.10526315789473685,0.0,0,0.22222222222222224,0.0222734042410851,0
In what way is Chlorpromazine metabolized?,"Extensively metabolized in the liver and kidneys. It is extensively metabolized by cytochrome P450 isozymes CYP2D6 (major pathway), CYP1A2 and CYP3A4. Approximately 10 to 12 major metabolite have been identified. Hydroxylation at positions 3 and 7 of the phenothiazine nucleus and the N-dimethylaminopropyl side chain undergoes demethylation and is also metabolized to an N-oxide. In urine, 20% of chlopromazine and its metabolites are excreted unconjugated in the urine as unchanged drug, demonomethylchlorpromazine, dedimethylchlorpromazine, their sulfoxide metabolites, and chlorpromazine-N-oxide. The remaining 80% consists of conjugated metabolites, principally O-glucuronides and small amounts of ethereal sulfates of the mono- and dihydroxy-derivatives of chlorpromazine and their sulfoxide metabolites. The major metabolites are the monoglucuronide of N-dedimethylchlorpromazine and 7-hydroxychlorpromazine. Approximately 37% of the administered dose of chlorpromazine is excreted in urine.",Hepatic.,Chlorpromazine is metabolized by the liver.,0.05714285714285715,2.381946977696758e-10,0,0.0,0.0,0
Describe the absorption characteristics of Deutetrabenazine.,"The extent of absorption is 80% with oral deutetrabenazine. As deutetrabenazine is extensively metabolized to its main active metabolites following administration, linear dose dependence of peak plasma concentrations (Cmax) and AUC was observed for the metabolites after single or multiple doses of deutetrabenazine (6 mg to 24 mg and 7.5 mg twice daily to 22.5 mg twice daily) [FDA Label]. Cmax of deuterated α-HTBZ and β-HTBZ are reached within 3-4 hours post-dosing [FDA Label]. Food may increase the Cmax of α-HTBZ or β-HTBZ by approximately 50%, but is unlikely to have an effect on the AUC [FDA Label].","The absolute bioavailability of deuterated tetrabenazine (deutetrabenazine) is 75% after oral administration. The C<sub>max</sub> of deutetrabenazine is 6.0 ng/mL and the AUC is 72.4 ng x h/mL following oral administration of 45 mg of deutetrabenazine once daily. The T<sub>max</sub> of deutetrabenazine is 1.5 hours. The C<sub>max</sub> of the active metabolites, α-HTBZ and β-HTBZ, are 2.2 and",Deutetrabenazine is a dopamine depleting agent that is used to treat Huntington's disease. It is a dopamine depleting agent that is used to treat Huntington's disease. It is a dopamine depleting agent that is used to treat Huntington's disease. It is a dopamine depleting agent that is used to treat Huntington's disease. It is a dopamine depleting agent that is used to treat Huntington's disease. It is a dopamine depleting agent that is used to treat Huntington's disease. It is a dopamine depleting agent that is used to treat Huntington's disease. It is a dopamine de,0.06829268292682926,0.005566559772825405,0,0.20809248554913296,0.015464859243305576,0
Can you explain how Gemeprost is metabolized in the body?,"After intravenous administration, gemeprost is rapidly metabolized via hydrolysis to the free acid with half life of 10-15 minutes. The free acid is then inactivated by β- and ω-oxidation [A19726].","Gemeprost is rapidly deacetylated to the active compound 16,16-dimethyl-trans-delta<sub>2</sub>-PG (d-MTDP). This compound is further metabolized to other prostaglandins, primarily 16,16-dimethyl-15-keto-13,14-dienic acid (d-MKDP), which has little or no activity on uterine smooth muscle.",Gemeprost is metabolized in the body by the liver. It is broken down into inactive metabolites that are excreted in the urine.,0.23076923076923075,0.012517484794846916,0,0.17721518987341772,0.0314169854934702,0
How does the body process Fluticasone metabolically?,"[DB08906] and [DB00588] are cleared from hepatic metabolism by cytochrome P450 3A4[F4361,F4364,F4358,A177121][FDA Label]. Both are hydrolysed at the FIVE-S-fluoromethyl carbothioate group, forming an inactive metabolite[F4361,F4355,A177118][FDA Label].","Fluticasone propionate is cleared from hepatic metabolism by cytochrome P450 3A4[FDA Label][F4364,A177121]. Fluticasone furoate is cleared from hepatic metabolism by cytochrome P450 3A4[A177121].",Fluticasone is metabolized by the liver and excreted in the urine.,0.125,0.007269079725633151,0,0.3125,0.22007604026278207,0
Describe the absorption characteristics of Mipomersen.,The maximum mipomersen concentration is reached in about 3-4 hours after subcutaneous injection. Additionally the bioavailability of mipomersn is dose-dependant and ranges from 54%-78%.,Mipomersn is administered subcutaneously and is slowly absorbed. The Cmax was found to be 0.5 ng/ml and the Tmax was found to be 3-4 days.,"Mipomersen is a small molecule that inhibits the production of apolipoprotein B (apoB), which is a protein that is required for the production of LDL cholesterol. Mipomersen is a small molecule that inhibits the production of apolipoprotein B (apoB), which is a protein that is required for the production of LDL cholesterol. Mipomersen is a small molecule that inhibits the production of apolipoprotein B (apoB), which is a protein that is required for the production of LDL cholesterol. Mipomersen is a small molecule that inhibits the production of apolipop",0.10344827586206896,0.005270547400136668,0,0.14545454545454545,0.016942131231608527,0
Describe the absorption characteristics of Canakinumab.,The absolute bioavailability of subcutaneous canakinumab is estimated to be 70%.,The absolute bioavailability of subcutaneous canakinumab is estimated to be approximately 80%.,Canakinumab is a human monoclonal antibody that binds to IL-1β and blocks its interaction with the IL-1 receptor. It,0.18749999999999997,0.01618408566040857,0,0.8695652173913043,0.8070557274927982,0
Describe the metabolic pathway of Sotagliflozin.,"The major metabolite of sotagliflozin is a 3-O-glucuronide (M19), which comprised ~94% of of the radioactivity in plasma following the oral administration of a radiolabeled dose of sotagliflozin.[L39705] The M19 metabolite is effectively inactive, with >275-fold less activity at SGLT1 and SGLT2 compared to the parent drug.[L39725] The primary route of metabolism is via glucuronidation by UGT1A9 (and both UGT1A1 and UGT2B7, to a lesser extent) as well as oxidation via CYP3A4.[L39705]","Sotagliflozin is primarily metabolized by O-glucuronidation. The major metabolite, M5 (a 1-O-β-glucuronide of sotagliflozin), is considered inactive. Sotagliflozin is also metabolized to a minor extent by CYP3A4.[L39705]","Sotagliflozin is a sodium-glucose cotransporter 2 inhibitor. It inhibits the reabsorption of glucose in the kidneys, which increases the excretion of glucose in the urine. This leads to a decrease in blood glucose levels.",0.17699115044247787,0.010889236852154876,0,0.29357798165137616,0.007568967257120607,0
Describe the metabolic pathway of Danazol.,"Hepatic, to principal metabolites, ethisterone and 17-hydroxymethylethisterone.",Hepatic.,"Danazol is a synthetic steroid that is used to treat endometriosis and other gynecological disorders. It is a derivative of ethisterone, a synthetic progestin. Danazol is a potent inhibitor of the enzyme 17β-hydroxysteroid dehydrogenase, which is responsible for the conversion of androgens to estrogens. This inhibition results in decreased levels of circulating estrogens, which in turn leads to decreased levels of circulating androgens. The decreased levels of circulating androgens lead to decreased levels of circulating estrogens, which in turn leads to decreased levels of circulating",0.06382978723404255,0.0046086012174188324,0,0.2222222222222222,0.0,0
How does the body process Debrisoquine metabolically?,Hepatic.,Hepatic,"Debrisoquine is metabolized by the body by the enzyme CYP2D6. This enzyme is responsible for the metabolism of many drugs, including antidepressants, antipsychotics, and painkillers. The enzyme is also responsible for the metabolism of many other drugs, including some that are used to treat cancer. The enzyme is also responsible for the metabolism of some drugs that are used to treat depression and anxiety. The enzyme is also responsible for the metabolism of some drugs that are used to treat pain. The enzyme is also responsible for the metabolism of some drugs that are used to treat cancer. The enzyme is also responsible for",0.0,0.0,0,1.0,0.0,0
"Tell me about Ebola Zaire vaccine (live, attenuated)'s metabolism mechanism.","As with other live attenuated vaccines, Ebola virus vaccine is speculated to undergo nonspecific cellular degradation.","As with other live attenuated vaccines, Ebola virus vaccine is speculated to undergo nonspecific cellular degradation.","Ebola Zaire vaccine (live, attenuated) is a live, attenuated vaccine that is administered by intramuscular injection. The vaccine contains a weakened strain of the Ebola virus that has been genetically modified to be unable to cause disease in humans. When administered, the vaccine stimulates the immune system to produce antibodies against the Ebola virus, providing protection against future infection. The vaccine is effective in preventing Ebola virus disease, but it is not a cure for the disease.",0.15053763440860213,0.013663868349968994,0,1.0,1.0,1
In what way is Fomivirsen absorbed?,"Following intravitreal injection in rabbits and monkeys, peak concentrations in the vitreous was detectable immediately after injection with the concentrations increasing in a dose-proportional manner [L1428]. Due to low doses of intravitreal administration with slow disposition from the eye, there is limited absorption of the drug into the systemic circulation [A31988]. Fomivirsen is detectable in retina of rabbits within hours following administration and concentrations increase over 3 to 5 days. The concentrations of the drug were highest in the retina and iris [FDA Label].","Following intravitreal injection in rabbits, fomivirsen is absorbed into the eye and the peak concentration is reached immediately after injection. The concentration of fomivirsen in retina and vitreous is higher than that in the iris.",Fomivirsen is absorbed by,0.0449438202247191,3.467250982241831e-10,0,0.35,0.03153332920216011,0
Can you explain how Triamterene is absorbed in the body?,"Triamterene is shown to be rapidly absorbed in the gastrointestinal tract [L6166,T28] Its onset of action achiveved within 2 to 4 hours after oral ingestion [L6166] and its duration of action is 12-16 hours.[T28] It is reported that the diuretic effect of triamterene may not be observed for several days after administration.[L6166] In a pharmacokinetic study, the oral bioavailability of triamterene was determined to be 52%.[A178012] Following administration of a single oral dose to fasted healthy male volunteers, the mean AUC of triamterene was about 148.7 ng*hr/mL [L6169] and the mean peak plasma concentrations (Cmax) were 46.4 ng/mL reached at 1.1 hour after administration.[L6169] In a limited study, administration of triamterene in combination with hydrochlorothiazide resulted in an increased bioavailability of triamterene by about 67% and a delay of up to 2 hours in the absorption of the drug.[L6169] It is advised that triamterene is administered after meals; in a limited study, combination use of triamterene and hydrochlorothiazide with the consumption of a high-fat meal resulted in an increase in the mean bioavailability and peak serum concentrations of triamterene and its active sulfate metabolite, as well as a delay of up to 2 hours in the absorption of the active constituents.[L6169]",Triamterene is 50-70% absorbed from the gastrointestinal tract.[A179464] The diuretic activity of triamterene becomes apparent 3-4 hours after oral administration and lasts for 24 hours.[A179478],Triamterene is absorbed in the body by the oral route. It is a weak acid and is therefore absorbed in the stomach. It is then transported to the liver where it is metabolized by the liver enzymes. The metabolites are then excreted,0.13953488372093023,0.0015260729715094914,0,0.13061224489795917,8.131898914288255e-05,0
What is the absorption of Cabazitaxel like?,"After an intravenous dose of cabazitaxel 25 mg/m2 every three weeks to a population of 170 patients with solid tumors, the mean Cmax in patients with metastatic prostate cancer was 226 ng/mL (CV 107%) and was reached at the end of the one-hour infusion (Tmax). The mean AUC in patients with metastatic prostate cancer was 991 ng.h/mL (CV 34%). Administration with prednisone or prednisolone do not effect the pharmacokinetic profile of cabazitaxel.","The pharmacokinetic profile of cabazitaxel follows a 1-hour intravenous infusion. The steady-state concentrations of cabazitaxel and its active metabolite, cabazitaxel 6-hydroxyl, are reached after the first daily infusion. The steady-state AUC of cabazitaxel is 2.2-fold higher than the single AUC, with a steady-state Cmax 2.5-fold higher than the single Cmax. The pharmacokinetics of the active metabolite, cabazitaxel 6-hydroxyl, is linear and dose-dependent. The mean",,0.0,0.0,0,0.1973684210526316,0.035863019771257026,0
Describe the absorption characteristics of Betaxolol.,Absorption of an oral dose is complete. There is a small and consistent first-pass effect resulting in an absolute bioavailability of 89% &plusmn; 5% that is unaffected by the concomitant ingestion of food or alcohol.,Approximately 40% of an oral dose is absorbed. The bioavailability of betaxolol is 15-20% due to a significant first-pass effect.,Betaxolol is a non-selective beta blocker that is used to treat glaucoma. It is a beta blocker that is used to treat glaucoma. It is a beta blocker that is used to treat glaucoma. It is a beta blocker that is used to treat glaucoma. It is a beta blocker that is used to treat glaucoma. It is a beta blocker that is used to treat glaucoma. It is a beta blocker that is used to treat glaucoma. It is a beta blocker that is used to treat glaucoma. It is a beta blocker that is used to treat,0.07352941176470588,0.010397163254990268,0,0.3448275862068966,0.10645919955511406,0
How does the body absorb Cedazuridine?,"Cedazuridine (100 mg) taken orally with [decitabine] (35 mg) once daily for five days resulted in a day 1 AUC and steady-state AUC (coefficient of variation) of 103 (55%) and 178 (53%) ng\*hr/mL for [decitabine] and 2950 (49%) and 3291 (45%) ng\*hr/mL for cedazuridine, respectively. Overall, the 5-day cumulative AUC for [decitabine] was 851 (50%). Similarly, the C<sub>max</sub> for [decitabine] and cedazuridine was 145 (55%) and 371 (52%) ng/mL, respectively. The median T<sub>max</sub> for [decitabine] was 1 hr (range 0.3 to 3.0 hrs) and for cedazuridine was 3 hrs (range 1.5 to 6.1 hrs).[L14897] The bioavailability of [decitabine], as assessed by comparing the AUC of oral [decitabine] co-administered with cedazuridine to intravenous [decitabine] alone, was 60% on day 1 (90% CI of 55-65%). The corresponding values on day 5 and considering the cumulative day 5 dose were 106% (90% CI: 98, 114) and 99% (90% CI: 93, 106). Hence, the oral bioavailability of [decitabine] approaches 100% over the 5-day treatment cycle.[L14897]",Cedazuridine is not significantly absorbed after oral administration [L1203].,The body absorbs Cedazuridine by the process of passive diffusion.,0.05181347150259067,9.70906614930304e-09,0,0.020833333333333332,1.4157746821569513e-09,0
Tell me about Azlocillin's metabolism mechanism.,"Eliminated predominantly by renal mechanisms, but also undergoes biotransformation within body tissues and intraintestinal degradation by bowel bacteria, with high concentrations found in bile.",Not metabolized.,Azlocillin is a beta-lactam antibiotic that is used to treat bacterial infections. It works by inhibiting the synthesis of bacterial cell walls. Azlocillin is metabolized in the liver and excreted in the urine.,0.10344827586206896,0.011303083972869978,0,0.0,0.0,0
Describe the absorption characteristics of Camostat.,"A 200mg oral dose of camostat mesylate leads to the active metabolite reaching a C<sub>max</sub> of 87.1 ± 29.5 ng/mL, with a T<sub>max</sub> of 40 min, and an AUC of 10,400 ± 1,400 ng\*min/mL.[L13197]","The Cmax of camostat mesylate is 2.5 μg/mL and the Tmax is 30 min after a single 200 mg dose.[A193026] In cancer patients, the Cmax was 2.9 μg/mL and the AUC was 6.2 μg.h/mL after a single 200 mg dose.[A193026]",Camostat is a potent inhibitor of trypsin and chymotrypsin. It is a competitive inhibitor of trypsin and chymotrypsin. It is a reversible inhibitor of trypsin and chymotrypsin. It is a non-competitive inhibitor of trypsin and chymotrypsin. It is a mixed inhibitor of trypsin and chymotrypsin.,0.17391304347826086,0.010778654685071103,0,0.18947368421052632,0.04050196852070656,0
What is the absorption process of Olsalazine?,"After oral administration, olsalazine, has limited systemic bioavailability. 98-99% of the dose is converted to mesalamine (5-ASA) in the colon, which is absorbed slowly resulting in very high local concentrations in the colon.","Olsalazine is hydrolyzed by colonic bacteria to two molecules of mesalamine (5-aminosalicylic acid, or 5-ASA) in the colon.","Olsalazine is a drug that is used to treat ulcerative colitis. It is a combination of two drugs, sulfasalazine and olsalazine. The absorption process of Olsalazine is as follows:

1. Olsalazine is a prodrug, meaning that it is not active until it is metabolized by the body.
2. Olsalazine is metabolized by the liver into two active drugs, sulfasalazine and olsalazine.
3. Sulfasalazine is absorbed into the bloodstream and then transported to the colon, where it is metabolized into two active drugs, sulfapy",0.15254237288135594,0.014128565127520061,0,0.32727272727272727,0.037443393315563143,0
Tell me about Oseltamivir's absorption mechanism.,"Oseltamivir is readily absorbed from the gastrointestinal tract after oral administration of oseltamivir phosphate and is extensively converted by predominantly hepatic esterases to the active metabolite oseltamivir carboxylate. At least 75 % of an oral dose reaches the systemic circulation as the active metabolite. Exposure to the pro-drug is less than 5 % relative to the active metabolite. Plasma concentrations of both pro-drug and active metabolite are proportional to dose and are unaffected by co-administration with food.[F3094, F3097, L5161, F3115] Pharmacokinetic parameters following twice daily dosing of oseltamivir 75mg capsules are as follows: Cmax of oseltamivir and oseltamivir carboxylate were found to be 65ng/mL and 348ng/mL, respectively, while AUC (0-12h) of oseltamivir and oseltamivir carboxylate were found to be 112ng·h/mL and 2719ng·h/mL, respectively.[F3097]","Oseltamivir is rapidly absorbed from the gastrointestinal tract after oral administration of oseltamivir phosphate and is extensively converted by primarily hepatic esterases to the active metabolite oseltamivir carboxylate. Oseltamivir carboxylate is a selective inhibitor of viral neuraminidase, the enzyme necessary for viral infectivity and replication. In healthy subjects, maximum plasma concentrations (Cmax) of oseltamivir were reached approximately 1 to 2 hours after dosing and ranged from 165 to 258 ng/mL following administration of 75 to 150 mg oselt",Oseltamivir is a prodrug that is converted to Oseltamivir carboxylate in the body. Oseltamivir carboxylate is the active form of the drug. Oseltamivir carboxylate is a neuraminidase inhibitor that prevents the release of newly formed viruses from infected cells. Oseltamivir carboxylate is a prodrug that is converted to Oseltamivir carboxylate in the body. Oseltamivir carboxylate is the active form of the drug. Oseltamivir carboxylate is,0.2222222222222222,0.0098774151533727,0,0.36792452830188677,0.1812700250815466,0
How does the body process Rimonabant metabolically?,"Hepatic, CYP3A4 involved.",Hepatic. In vitro and in vivo data indicate that CYP3A4 is the major CYP isoenzyme involved in rimonabant metabolism.,Rimonabant is metabolized by the liver and excreted in the urine.,0.0,0.0,0,0.2727272727272727,0.013609139615996616,0
"What is the most spoken language in the world by total number of speakers (including non-native)?
",I can't answer that.,I can't answer that.,The most spoken language in the world is Mandarin Chinese. It is spoken by over 1 billion people.,0.0,0.0,0,1.0,1.0,1
Describe the absorption characteristics of Oleoyl-estrone.,Orally available,Orally-available.,"Oleoyl-estrone is a compound that is used in the treatment of breast cancer. It is a derivative of estrone, which is a hormone that is produced by the ovaries. Oleoyl-estrone is a synthetic compound that is similar to estrone, but it has a longer half-life and is more effective in treating breast cancer. Oleoyl-estrone is absorbed through the skin and is then transported to the liver, where it is metabolized. The metabolites of oleoyl-estrone are then excreted in the urine.",0.0,0.0,0,1.0,0.0,0
Describe the metabolic pathway of Technetium Tc-99m arcitumomab.,"Most likely removed by opsonization via the reticuloendothelial system, or by human antimurine antibody production",Most likely removed by opsonization via the reticuloendothelial system or by human antimurine antibody production,"Technetium Tc-99m arcitumomab is a monoclonal antibody that is used in the diagnosis of colorectal cancer. It is a radiopharmaceutical that is used to detect the presence of colorectal cancer. The antibody is attached to a radioactive tracer, technetium Tc-99m, which is used to detect the presence of the antibody in the body. The antibody is injected into the patient, and the tracer is detected using a gamma camera. The tracer is taken up by the tumor cells, and the gamma camera can detect the presence of the tracer in the tumor cells. This allows the",0.035398230088495575,0.004598757214908474,0,1.0,0.8003203203844999,0
How is Timolol metabolized?,"Timolol is metabolized in the liver by the cytochrome P450 2D6 enzyme, with minor contributions from CYP2C19.[A179551,L6724] 15-20% of a dose undergoes first-pass metabolism.[A179560] Despite its relatively low first pass metabolism, timolol is 90% metabolized.[A179560] Four metabolites of timolol have been identified, with a hydroxy metabolite being the most predominant.[A179551]","Timolol is metabolized in the liver by the cytochrome P450 2D6 enzyme, with minor contributions from CYP2C19.[L7219,L7222] About 15% of a dose of timolol is metabolized to the pharmacologically active metabolite, beta-hydroxy-timolol.[L7219,L7222]",Tim,0.0,0.0,0,0.5473684210526316,0.3193968545268177,0
Describe the metabolic pathway of Midomafetamine.,"Midomafetamine, or MDMA, is reported to undergo extensive CYP-mediated hepatic metabolism, with CYP2D6 playing a major role in humans. Other CYP enzymes contributing to MDMA metabolism are CYP3A4 and COMT. MDMA is metabolized via two primary metabolic pathways. It may undergo O-demethylenation followed by catechol-O-methyltransferase (COMT)-catalyzed methylation and/or glucuronide/sulfate conjugation. In contrast, it may also undergo N-dealkylation, deamination, and oxidation to the corresponding benzoic acid derivatives conjugated with glycine. Due to autoinhibition of CYP2D6 and CYP2D8, MDMA displays a complex, nonlinear pharmacokinetics profile, with the zeroth order kinetics occurring at higher doses. It is thought that this can result in sustained and higher concentrations of MDMA if the user takes consecutive doses of the drug.",Midomafetamine is metabolized to α-naphthoxy-acetic acid by CYP2D6.[A189829],Midomafetamine is a synthetic opioid that is structurally similar to fentanyl. It is a Schedule I controlled substance in the United States. Midomafetamine is a potent analgesic and is used for the treatment of severe pain. It is also used as a recreational drug. Midomafetamine is a Schedule I controlled substance in the United States. It is a potent analgesic and is used for the treatment of severe pain. It is also used as a recreational drug. Midomafetamine is a Schedule I controlled substance in the United States. It is a potent analgesic and is used,0.16438356164383558,0.010682724503985665,0,0.09022556390977443,1.3913690679444378e-07,0
Describe the absorption characteristics of Tetracaine.,"Systemic absorption of anaesthetic from the combination cream is directly related to the duration and surface area of application. Although peak plasma concentrations for lidocaine were measured, plasma levels for tetracaine could not be determined due to low levels (<0.9 ng/mL)","The absorption of local anesthetics into the circulation is dependent on the total dose and concentration of drug administered, the route of administration, the vascularity of the administration site, and the presence or absence of epinephrine in the anesthetic solution.","Lidocaine is a local anesthetic that is used to numb the skin before a procedure. It is absorbed through the skin and into the bloodstream, where it blocks nerve signals that cause pain. Lidocaine is also used to treat pain caused by nerve damage or injury.",0.1348314606741573,0.010181832882152436,0,0.16867469879518074,0.02105374706103498,0
What happens during the metabolism of Clomifene?,Hepatic,Hepatic.,Clomifene is a drug that is used to treat infertility in women. It works by stimulating the release of eggs from the ovaries. The drug is taken orally and is usually given in a dose of 50 mg once a day for five days. The drug is metabolized in the liver and is excreted in the urine. The drug is also metabolized in the kidneys and is excreted in the urine. The drug is also metabolized in the liver and is excreted in the urine. The drug is also metabolized in the liver and is excreted in the urine. The drug is also metabol,0.0,0.0,0,1.0,0.0,0
